,Customer ID,purchased,item_sold,orders,avg_order_value
0,18102.0,608821.65,188340,145,4198.77
1,14646.0,528602.52,367833,152,3477.648157894737
2,14156.0,313946.37,165992,156,2012.4767307692307
3,14911.0,295972.63,150237,398,743.6498241206031
4,17450.0,246973.09,85368,51,4842.609607843137
5,13694.0,196482.81,189205,143,1374.0056643356643
6,17511.0,175603.55,119656,60,2926.725833333333
7,16446.0,168472.5,80997,2,84236.25
8,16684.0,147142.77,104810,55,2675.3230909090908
9,12415.0,144458.37,91743,28,5159.2275
10,15061.0,137818.52,80711,127,1085.1851968503936
11,16029.0,122209.14,56486,107,1142.1414953271028
12,17949.0,118628.08,60658,118,1005.3227118644068
13,15311.0,116771.16,71010,208,561.3998076923077
14,13089.0,116737.86,60234,203,575.0633497536946
15,12931.0,92347.34,62906,57,1620.1287719298246
16,14298.0,91194.49,100272,82,1112.1279268292683
17,15769.0,88704.32,49104,46,1928.3547826086958
18,12346.0,77556.46,74285,12,6463.038333333334
19,13798.0,75836.87,48347,110,689.4260909090908
20,15838.0,74163.0,64664,34,2181.264705882353
21,17841.0,70884.07,37558,211,335.94345971563985
22,16754.0,67502.47,67831,29,2327.671379310345
23,14096.0,65164.79,16352,17,3833.2229411764706
24,14088.0,64036.8,15276,16,4002.3
25,16422.0,63651.47,66369,109,583.9584403669725
26,13081.0,59205.15,41515,28,2114.469642857143
27,16013.0,57446.44,25952,84,683.8861904761904
28,14680.0,57412.77,27364,58,989.8753448275861
29,17389.0,57224.68,17882,61,938.1095081967213
30,17850.0,56600.08,22785,155,365.1618064516129
31,12748.0,56599.39,39110,337,167.9507121661721
32,13777.0,56478.42,26742,61,925.875737704918
33,13093.0,54943.65,26227,55,998.9754545454546
34,13408.0,51733.462,29499,106,488.0515283018868
35,17404.0,47781.12,50679,23,2077.44
36,13881.0,45179.1,29760,43,1050.6767441860466
37,15749.0,44534.3,18028,3,14844.766666666668
38,16705.0,43515.051,22302,42,1036.072642857143
39,14031.0,40999.17,14507,44,931.7993181818182
40,15039.0,40031.43,18183,93,430.44548387096773
41,17381.0,40002.37,45767,38,1052.693947368421
42,12471.0,39963.79,16891,79,505.8707594936709
43,15098.0,39916.5,121,3,13305.5
44,16210.0,38489.51,14263,35,1099.7002857142859
45,17675.0,38259.6,16416,70,546.5657142857143
46,17677.0,36692.91,21936,54,679.4983333333334
47,12921.0,35921.04,21708,74,485.41945945945946
48,13767.0,35540.53,15235,73,486.85657534246576
49,12678.0,34281.18,22372,21,1632.4371428571428
50,15856.0,34220.340000000004,20432,52,658.0834615384616
51,13902.0,34095.26,220600,5,6819.052000000001
52,16779.0,33268.24,19626,53,627.7026415094339
53,14258.0,32051.34,17512,25,1282.0536
54,17428.0,31819.760000000002,17504,45,707.1057777777778
55,12709.0,31093.34,13983,34,914.51
56,12681.0,30868.28,17596,45,685.9617777777778
57,14606.0,30861.06,15635,192,160.7346875
58,17940.0,30393.19,85580,16,1899.574375
59,13078.0,29532.45,12183,57,518.1131578947369
60,13098.0,28882.44,15968,28,1031.5157142857142
61,17857.0,28682.24,22060,24,1195.0933333333335
62,14527.0,27792.3,6762,122,227.80573770491802
63,15513.0,27750.55,10831,35,792.8728571428571
64,16333.0,26626.8,32184,22,1210.3090909090909
65,17865.0,26374.39,12985,46,573.356304347826
66,18251.0,26278.86,39639,9,2919.8733333333334
67,13802.0,26259.11,14129,19,1382.0584210526315
68,15498.0,26039.58,12622,44,591.8086363636364
69,12731.0,25775.71,11641,17,1516.2182352941177
70,14062.0,25604.2,12799,24,1066.8416666666667
71,12744.0,25317.06,6994,11,2301.550909090909
72,12939.0,25264.8,10328,20,1263.24
73,14895.0,25119.54,10714,38,661.0405263157895
74,12621.0,24775.81,13933,35,707.8802857142857
75,16525.0,24582.64,14630,48,512.1383333333333
76,17920.0,24516.46,12666,54,454.0085185185185
77,13001.0,24172.100000000002,13539,33,732.4878787878788
78,14607.0,24137.63,15585,22,1097.165
79,12682.0,24033.91,11018,52,462.19057692307695
80,15640.0,23957.58,12390,29,826.1234482758621
81,12482.0,23691.4,27042,29,816.944827586207
82,12409.0,23419.29,13143,7,3345.612857142857
83,16133.0,22992.260000000002,13654,56,410.5760714285715
84,14063.0,22710.2,3850,9,2523.355555555556
85,14051.0,22434.0,5947,37,606.3243243243244
86,17340.0,22404.82,11210,18,1244.7122222222222
87,16839.0,22310.49,11527,44,507.05659090909097
88,12540.0,22254.49,11019,33,674.3784848484848
89,15159.0,22116.73,13512,34,650.4920588235294
90,13340.0,22100.56,9636,12,1841.7133333333334
91,13319.0,22082.5,9270,58,380.73275862068965
92,14667.0,21927.14,13010,54,406.0581481481481
93,12753.0,21429.39,11421,6,3571.565
94,15615.0,21373.97,12090,47,454.7653191489362
95,17243.0,20889.86,8198,69,302.75159420289856
96,14866.0,20850.22,9233,19,1097.38
97,17706.0,20749.98,8049,31,669.3541935483871
98,12433.0,20581.26,17116,10,2058.1259999999997
99,15251.0,20324.54,12108,21,967.8352380952381
100,12477.0,20276.37,6119,9,2252.93
101,18008.0,19787.13,7830,23,860.3100000000001
102,17139.0,19584.46,9859,25,783.3783999999999
103,16843.0,19571.43,18502,35,559.1837142857142
104,17581.0,18757.75,9972,43,436.2267441860465
105,12557.0,18716.14,6782,8,2339.5175
106,14194.0,18670.59,10037,36,518.6275
107,13113.0,18625.73,4550,37,503.3981081081081
108,15808.0,18409.93,7229,21,876.6633333333333
109,17377.0,18319.41,7589,78,234.86423076923077
110,12357.0,18287.66,6587,3,6095.886666666666
111,16746.0,18066.4,11906,42,430.152380952381
112,12647.0,17924.35,6887,36,497.89861111111105
113,12472.0,17880.59,11350,19,941.0836842105264
114,15078.0,17761.88,8990,53,335.12981132075475
115,12901.0,17654.54,23075,28,630.5192857142857
116,14952.0,17629.35,6977,32,550.9171875
117,16652.0,17550.39,7477,16,1096.899375
118,15189.0,17524.38,6902,46,380.96478260869566
119,18172.0,17479.84,7413,52,336.15076923076924
120,16019.0,17465.85,6976,27,646.8833333333333
121,15523.0,17359.99,15873,16,1084.999375
122,13027.0,17335.2,43080,19,912.3789473684211
123,17416.0,17298.45,8769,22,786.2931818181819
124,13564.0,17249.55,9251,37,466.20405405405404
125,17735.0,17244.93,10901,26,663.2665384615385
126,14277.0,17225.81,89814,9,1913.978888888889
127,15358.0,17050.41,15378,42,405.96214285714285
128,15125.0,17024.87,8433,24,709.3695833333333
129,16656.0,16833.170000000002,15433,30,561.1056666666667
130,12454.0,16679.78,7703,5,3335.9559999999997
131,16553.0,16644.01,16475,33,504.36393939393935
132,13199.0,16432.89,12019,67,245.26701492537313
133,14961.0,16410.15,8372,22,745.9159090909092
134,13225.0,16260.07,7401,16,1016.254375
135,16180.0,16249.87,9813,13,1249.99
136,12980.0,16245.78,1910,21,773.6085714285715
137,15044.0,16204.33,5279,35,462.98085714285713
138,14733.0,16184.97,6491,15,1078.998
139,18092.0,16179.44,8830,18,898.8577777777778
140,17107.0,16075.42,7544,10,1607.542
141,12971.0,15972.79,14587,116,137.6964655172414
142,17716.0,15956.97,8819,24,664.87375
143,14769.0,15771.88,11255,17,927.7576470588235
144,14849.0,15763.45,12026,43,366.59186046511627
145,16191.0,15688.02,9360,24,653.6675
146,15768.0,15601.09,4259,34,458.85558823529414
147,13488.0,15587.88,7891,23,677.7339130434782
148,12949.0,15526.7,8233,22,705.7590909090909
149,15601.0,14960.12,11061,30,498.6706666666667
150,14543.0,14906.77,2697,39,382.22487179487183
151,18087.0,14761.519999999999,7775,17,868.3247058823529
152,16126.0,14646.800000000001,6154,15,976.4533333333334
153,17133.0,14622.33,10107,12,1218.5275
154,16873.0,14617.39,8601,12,1218.1158333333333
155,15482.0,14592.56,6532,19,768.0294736842105
156,16713.0,14560.69,8683,32,455.0215625
157,17448.0,14556.97,11548,46,316.45586956521737
158,14299.0,14499.49,8228,27,537.0181481481482
159,12583.0,14447.44,8984,27,535.0903703703704
160,15093.0,14326.11,11657,23,622.8743478260869
161,12476.0,14115.41,5645,23,613.7134782608696
162,17017.0,14110.61,10591,29,486.5727586206897
163,15005.0,14106.2,8856,56,251.89642857142857
164,13090.0,14103.09,3445,24,587.62875
165,12714.0,14093.71,8774,12,1174.4758333333332
166,13178.0,14059.19,8778,21,669.4852380952382
167,17589.0,14049.87,8788,18,780.5483333333334
168,18223.0,14000.85,6644,26,538.4942307692307
169,15502.0,13993.47,5861,14,999.5335714285713
170,12435.0,13925.93,4958,6,2320.9883333333332
171,15760.0,13916.34,2,2,6958.17
172,16558.0,13873.51,8088,38,365.09236842105264
173,15291.0,13846.56,5017,40,346.164
174,15032.0,13780.65,8259,8,1722.58125
175,15382.0,13733.550000000001,9178,12,1144.4625
176,12567.0,13709.86,6086,15,913.9906666666667
177,12989.0,13551.75,6935,33,410.65909090909093
178,13468.0,13390.51,5824,72,185.97930555555556
179,13097.0,13389.22,5396,28,478.18642857142856
180,16923.0,13378.36,6269,32,418.07375
181,15738.0,13372.970000000001,9285,41,326.17
182,13629.0,13370.86,7722,19,703.7294736842106
183,13969.0,13365.87,6817,35,381.882
184,14049.0,13239.03,8609,13,1018.3869230769232
185,13316.0,13191.57,21372,10,1319.157
186,16549.0,13182.19,7278,34,387.71147058823533
187,13668.0,13089.94,6133,35,373.9982857142857
188,18225.0,13054.26,7304,26,502.0869230769231
189,14110.0,12987.95,5837,33,393.57424242424247
190,16161.0,12831.8,6380,43,298.4139534883721
191,13952.0,12823.521,5947,14,915.9657857142857
192,17858.0,12797.65,5483,30,426.5883333333333
193,12683.0,12696.78,7683,21,604.6085714285715
194,12437.0,12683.4,8001,39,325.2153846153846
195,12451.0,12669.88,9359,8,1583.735
196,15465.0,12655.65,2769,32,395.4890625
197,14040.0,12645.57,5044,35,361.30199999999996
198,13013.0,12625.77,6463,29,435.3713793103448
199,12536.0,12601.830000000002,2803,3,4200.610000000001
200,16814.0,12499.710000000001,5066,36,347.2141666666667
201,15194.0,12427.69,9169,28,443.84607142857146
202,12474.0,12424.45,7954,31,400.7887096774194
203,14936.0,12410.81,6274,12,1034.2341666666666
204,16000.0,12393.7,5110,3,4131.233333333334
205,12481.0,12361.39,7253,15,824.0926666666667
206,13050.0,12344.53,7206,35,352.70085714285716
207,14739.0,12287.5,10172,25,491.5
208,13854.0,12253.96,3710,39,314.2041025641025
209,14735.0,12240.16,4513,56,218.5742857142857
210,13418.0,12233.6,7606,31,394.6322580645161
211,15023.0,12170.68,5052,20,608.534
212,15144.0,12160.31,5251,29,419.3210344827586
213,17338.0,12142.57,5879,17,714.2688235294117
214,15555.0,12112.35,9037,36,336.45416666666665
215,14415.0,12091.6,6304,23,525.7217391304348
216,17364.0,12070.42,7513,28,431.0864285714286
217,14505.0,12001.84,5383,19,631.6757894736842
218,17044.0,11962.3,5722,12,996.8583333333332
219,13458.0,11959.27,6760,16,747.454375
220,16258.0,11942.52,7200,15,796.168
221,16523.0,11916.33,4979,28,425.5832142857143
222,13687.0,11880.84,87167,1,11880.84
223,18226.0,11878.88,7883,26,456.88
224,12705.0,11762.1,7188,14,840.15
225,14426.0,11727.94,7023,17,689.8788235294118
226,13102.0,11696.92,6576,37,316.132972972973
227,13004.0,11650.85,8768,36,323.63472222222225
228,13576.0,11551.74,4614,28,412.5621428571429
229,15218.0,11516.57,6553,22,523.4804545454546
230,12668.0,11444.68,5076,10,1144.468
231,13680.0,11435.67,5252,12,952.9725
232,14016.0,11403.41,5722,11,1036.6736363636364
233,17809.0,11337.39,3353,20,566.8695
234,14045.0,11313.029999999999,4589,16,707.0643749999999
235,15874.0,11284.76,5102,21,537.3695238095238
236,12539.0,11214.75,4535,7,1602.107142857143
237,18055.0,11195.57,3839,14,799.6835714285714
238,12524.0,11126.11,7178,17,654.4770588235294
239,14134.0,11123.35,5814,15,741.5566666666667
240,13941.0,11122.300000000001,5426,15,741.4866666666668
241,12918.0,10953.5,1,1,10953.5
242,16985.0,10923.16,3103,23,474.92
243,14796.0,10889.64,7653,27,403.32
244,18052.0,10877.18,17766,1,10877.18
245,12431.0,10857.97,4729,27,402.147037037037
246,16033.0,10836.13,4288,27,401.3381481481481
247,15694.0,10810.81,2658,24,450.4504166666666
248,18229.0,10803.710000000001,3183,28,385.8467857142858
249,16984.0,10754.8,5330,9,1194.9777777777776
250,16327.0,10731.34,8540,16,670.70875
251,16168.0,10636.47,5099,66,161.15863636363636
252,13324.0,10513.47,8448,18,584.0816666666666
253,15290.0,10496.28,6567,26,403.70307692307694
254,16782.0,10438.41,4285,38,274.695
255,14028.0,10396.5,7170,3,3465.5
256,15296.0,10342.83,5464,12,861.9025
257,14422.0,10271.52,6067,19,540.6063157894737
258,15719.0,10223.06,5368,31,329.77612903225804
259,17160.0,10209.16,8390,17,600.5388235294117
260,15805.0,10189.23,6225,30,339.64099999999996
261,13599.0,10167.630000000001,6494,33,308.11
262,15547.0,10154.39,7362,26,390.55346153846153
263,14085.0,10104.97,6564,33,306.2112121212121
264,12839.0,10071.73,6849,26,387.37423076923073
265,12766.0,10068.28,5446,9,1118.697777777778
266,13985.0,10020.86,4938,22,455.49363636363637
267,16353.0,9999.460000000001,3531,38,263.1436842105263
268,14755.0,9972.550000000001,4401,25,398.90200000000004
269,16182.0,9971.65,5887,9,1107.961111111111
270,18260.0,9962.11,5247,23,433.13521739130437
271,14101.0,9961.93,10542,13,766.3023076923077
272,16131.0,9957.42,4768,12,829.785
273,17049.0,9947.48,4276,19,523.5515789473684
274,14329.0,9927.22,5921,15,661.8146666666667
275,17230.0,9924.95,3903,18,551.3861111111112
276,16701.0,9916.73,11046,26,381.4126923076923
277,12758.0,9903.24,6155,7,1414.7485714285715
278,18109.0,9893.96,4885,38,260.3673684210526
279,13327.0,9879.48,4479,20,493.974
280,12590.0,9864.26,4283,2,4932.13
